epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.00045,1.34597,3.05086,1.37406,0.01333,1,0.27821,0.26529,0.29613,2.89854,0.82698,0.0005,0.0005,0.0005
2,3.96813,1.18217,3.01524,1.2669,0.01333,1,0.27821,0.26529,0.29613,2.89854,0.82698,0.001005,0.001005,0.001005
3,5.81928,1.26871,3.02515,1.3341,0.01333,1,0.27821,0.26529,0.29613,2.89854,0.82698,0.00068,0.00068,0.00068
